DATE.ADDED.TO.CATALOG,PUBMEDID,FIRST.AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL.SAMPLE.SIZE,REPLICATION.SAMPLE.SIZE,REGION,CHR_ID,CHR_POS,REPORTED.GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST.SNP-RISK.ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK.ALLELE.FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE.(TEXT),OR.or.BETA,95%.CI.(TEXT),PLATFORM.[SNPS.PASSING.QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY.ACCESSION,GENOTYPING.TECHNOLOGY,hg38_pos,plink.lab
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,7q22.3,7,105972290,"",CDHR3,"","",ENSG00000128536,,,rs2727757-G,rs2727757,0,2727757,intron_variant,0,0.3257,7E-9,8.15490195998574,"",0.0372,[0.025-0.05] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,7:105972290,chr7:105972290:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,8q24.11,8,117851173,"",EXT1,"","",ENSG00000182197,,,rs17430357-T,rs17430357,0,17430357,intron_variant,0,0.1869,4E-8,7.39794000867204,"",0.0411,[0.026-0.056] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,8:117851173,chr8:117851173:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,9q33.1,9,116419515,"",PAPPA - ASTN2,ENSG00000182752,ENSG00000148219,"",17194,3597,rs17303101-A,rs17303101,0,17303101,downstream_gene_variant,1,0.2729,2E-8,7.69897000433602,"",0.0378,[0.024-0.051] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,9:116419515,chr9:116419515:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10p11.22,10,32483806,"",CCDC7,"","",ENSG00000216937,,,rs11527634-T,rs11527634,0,11527634,intron_variant,0,0.1639,1E-9,9,"",0.0524,[0.036-0.069] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:32483806,chr10:32483806:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q11.23,10,49277389,"",TMEM273 - C10orf71-AS1,ENSG00000204161,ENSG00000236208,"",88804,18723,rs76460895-A,rs76460895,0,76460895,regulatory_region_variant,1,0.0631,7E-10,9.15490195998574,"",0.0767,[0.052-0.101] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:49277389,chr10:49277389:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q22.3,10,79139212,"",ZMIZ1,"","",ENSG00000108175,,,rs1769758-T,rs1769758,0,1769758,intron_variant,0,0.5232,8E-10,9.09691001300806,"",0.0398,[0.027-0.053] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:79139212,chr10:79139212:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11p15.4,11,3868829,"",STIM1,"","",ENSG00000167323,,,rs7126870-T,rs7126870,0,7126870,intron_variant,0,0.5122,3E-8,7.52287874528034,"",0.0322,[0.021-0.044] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:3868829,chr11:3868829:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11p15.2,11,14014642,"",SPON1,"","",ENSG00000262655,,,rs10500790-A,rs10500790,0,10500790,intron_variant,0,0.369,7E-13,12.1549019599857,"",0.0432,[0.031-0.055] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:14014642,chr11:14014642:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11q21,11,95356718,"",SESN3 - FAM76B,ENSG00000149212,ENSG00000077458,"",124177,412235,rs517938-T,rs517938,0,517938,intergenic_variant,1,0.6106,3E-8,7.52287874528034,"",0.0341,[0.022-0.046] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:95356718,chr11:95356718:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12p13.1,12,12733093,"",APOLD1,"","",ENSG00000178878,,,rs10845620-A,rs10845620,0,10845620,intron_variant,0,0.1289,5E-8,7.30102999566398,"",0.0497,[0.032-0.068] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:12733093,chr12:12733093:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q23.3,12,104098225,"",HCFC2,"","",ENSG00000111727,,,rs2629755-G,rs2629755,0,2629755,non_coding_transcript_exon_variant,0,0.2128,2E-11,10.698970004336,"",0.0511,[0.036-0.066] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:104098225,chr12:104098225:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,13q12.11,13,21537382,"",MICU2,"","",ENSG00000165487,,,rs11841562-A,rs11841562,0,11841562,intron_variant,0,0.3913,4E-8,7.39794000867204,"",0.0329,[0.021-0.045] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,13:21537382,chr13:21537382:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,13q22.1,13,73946049,"",KLF12,"","",ENSG00000118922,,,rs1886512-A,rs1886512,0,1886512,intron_variant,0,0.3393,6E-9,8.22184874961636,"",0.0357,[0.024-0.048] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,13:73946049,chr13:73946049:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,16p13.11,16,15808858,"","MYH11, MYH11","","","ENSG00000133392, ENSG00000276480",,,rs9284324-A,rs9284324,0,9284324,intron_variant,0,0.303,2E-9,8.69897000433602,"",0.0383,[0.026-0.051] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,16:15808858,chr16:15808858:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,18q23,18,79396537,"",NFATC1,"","",ENSG00000131196,,,rs8096658-G,rs8096658,0,8096658,intron_variant,0,0.4581,3E-9,8.52287874528034,"",0.0372,[0.025-0.05] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,18:79396537,chr18:79396537:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,19q13.33,19,47639489,"",BICRA,"","",ENSG00000063169,,,rs11881441-C,rs11881441,0,11881441,intron_variant,0,0.6808,2E-9,8.69897000433602,"",0.0381,[0.026-0.051] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,19:47639489,chr19:47639489:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,20q11.23,20,38213512,"",KIAA1755,"","",ENSG00000149633,,,rs3746471-A,rs3746471,0,3746471,missense_variant,0,0.4601,2E-11,10.698970004336,"",0.0391,[0.028-0.05] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,20:38213512,chr20:38213512:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,22q11.21,22,21644940,"",SDF2L1 - MIR301B,ENSG00000128228,ENSG00000212102,"",641,8041,rs5754508-G,rs5754508,0,5754508,downstream_gene_variant,1,0.2342,5E-8,7.30102999566398,"",0.0421,[0.027-0.057] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,22:21644940,chr22:21644940:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,22q13.2,22,41793403,"",MEI1,"","",ENSG00000167077,,,rs139557-G,rs139557,0,139557,intron_variant,0,0.6798,4E-7,6.39794000867204,"",0.0316,[0.019-0.044] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,22:41793403,chr22:41793403:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p36.22,1,10736809,"",CASZ1,"","",ENSG00000130940,,,rs880315-C,rs880315,0,880315,intron_variant,0,0.4062,4E-16,15.397940008672,"",0.0496,[0.038-0.062] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:10736809,chr1:10736809:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p36.12,1,21956126,"",HSPG2 - CELA3B,ENSG00000142798,ENSG00000219073,"",18816,20896,rs7529220-C,rs7529220,0,7529220,intron_variant,1,0.799,2E-15,14.698970004336,"",0.0627,[0.047-0.078] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:21956126,chr1:21956126:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p34.2,1,41078607,"",SCMH1,"","",ENSG00000010803,,,rs2885697-T,rs2885697,0,2885697,intron_variant,0,0.655,1E-10,10,"",0.0394,[0.027-0.051] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:41078607,chr1:41078607:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p32.3,1,51539068,"",EPS15-AS1,"","",ENSG00000227070,,,rs12022114-A,rs12022114,0,12022114,intron_variant,0,0.0548,5E-8,7.30102999566398,"",0.0808,[0.052-0.11] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:51539068,chr1:51539068:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p13.2,1,111840049,"",KCND3,"","",ENSG00000171385,,,rs11102343-A,rs11102343,0,11102343,intron_variant,0,0.2347,1E-20,20,"",0.0779,[0.062-0.094] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:111840049,chr1:111840049:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p13.1,1,115755137,"",CASQ2,"","",ENSG00000118729,,,rs4073778-A,rs4073778,0,4073778,intron_variant,0,0.5279,2E-15,14.698970004336,"",0.0468,[0.035-0.058] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:115755137,chr1:115755137:
