DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2008-10-14	17903304	Larson MG	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903304	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.	Atrial fibrillation	151 cases and 1,190 controls from 310 families	NA	11q22.1	11	99622442	CNTN5	CNTN5			ENSG00000149972			rs10501920-?	rs10501920	0	10501920	intron_variant	0	NR	9E-6	5.045757490560675				Affymetrix [70897]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST000109	Genome-wide genotyping array
2016-04-12	26385043	Kertai MD	2015-06-17	Am Heart J	www.ncbi.nlm.nih.gov/pubmed/26385043	Genome-wide association study of new-onset atrial fibrillation after coronary artery bypass grafting surgery.	Postoperative atrial fibrillation in coronary artery bypass grafting surgery	620 European ancestry cases, 257 European ancestry controls	220 cases, 84 controls	6p21.33	6	32039119	CYP21A2	CYP21A2			ENSG00000206338			rs6455-G	rs6455	0	6455	synonymous_variant	0	0.015	3E-6	5.522878745280337		1.96	[0.51-7.58]	Illumina [524975]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST002975	Genome-wide genotyping array
2016-04-12	26385043	Kertai MD	2015-06-17	Am Heart J	www.ncbi.nlm.nih.gov/pubmed/26385043	Genome-wide association study of new-onset atrial fibrillation after coronary artery bypass grafting surgery.	Postoperative atrial fibrillation in coronary artery bypass grafting surgery	620 European ancestry cases, 257 European ancestry controls	220 cases, 84 controls	8q21.11	8	74007478	LY96	LY96			ENSG00000154589			rs10504554-A	rs10504554	0	10504554	intron_variant	0	0.82	4E-6	5.3979400086720375		1.82	[1.01-3.23]	Illumina [524975]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST002975	Genome-wide genotyping array
2016-04-12	26385043	Kertai MD	2015-06-17	Am Heart J	www.ncbi.nlm.nih.gov/pubmed/26385043	Genome-wide association study of new-onset atrial fibrillation after coronary artery bypass grafting surgery.	Postoperative atrial fibrillation in coronary artery bypass grafting surgery	620 European ancestry cases, 257 European ancestry controls	220 cases, 84 controls	10p12.31	10	18705654	LOC100130846, ARL5B	ARL5B - AIFM1P1	ENSG00000165997	ENSG00000225509		24015	30091	rs11015781-A	rs11015781	0	11015781	intergenic_variant	1	0.3	7E-6	5.154901959985743		1.2	[0.76-1.91]	Illumina [524975]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST002975	Genome-wide genotyping array
2019-08-22	29237688	Weng LC	2017-12-01	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/29237688	Heritability of Atrial Fibrillation.	Atrial fibrillation	2,987 European ancestry cases, 117,299 European ancestry controls	NA	5q31.1	5	135024741	PITX1	CATSPER3 - PITX1	ENSG00000152705	ENSG00000069011		13045	2993	rs31209-A	rs31209	0	31209	downstream_gene_variant	1	0.62	2E-8	7.698970004336019		1.17	[1.11-1.24]	Affymetrix [8325606] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST008486	Genome-wide genotyping array
2019-08-22	29237688	Weng LC	2017-12-01	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/29237688	Heritability of Atrial Fibrillation.	Atrial fibrillation	2,987 European ancestry cases, 117,299 European ancestry controls	NA	12p12.1	12	25905670	RASSF8	MIR4302 - RASSF8-AS1	ENSG00000283603	ENSG00000246695		31591	31013	rs117640426-C	rs117640426	0	117640426	intergenic_variant	1	0.01	9E-9	8.045757490560675		1.7	[1.42-2.03]	Affymetrix [8325606] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST008486	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	1p13.2	1	111849738	KCND3	KCND3			ENSG00000171385			rs12044963-T	rs12044963	0	12044963	intron_variant	0	NR	1E-12	12.0		1.15	[1.11-1.20]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	1q24.2	1	170368215	METT11B	LINC01681 - HAUS4P1	ENSG00000233985	ENSG00000226967		63857	1008	rs4656762-C	rs4656762	0	4656762	intergenic_variant	1	NR	5E-9	8.301029995663981		1.13	[1.08-1.17]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	2p14	2	65049602	CEP68	LINC02576, LINC02245			ENSG00000232613, ENSG00000237638			rs2540951-A	rs2540951	0	2540951	intron_variant	0	NR	5E-14	13.301029995663981		1.18	[1.13-1.23]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	4q25	4	110707883	PITX2	PITX2 - LINC01438	ENSG00000164093	ENSG00000249519		65760	86520	rs16997168-T	rs16997168	0	16997168	intergenic_variant	1	NR	1E-48	48.0		1.39	[1.33-1.45]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	4q34.1	4	173526992	HAND2, HAND2-AS1	HAND2			ENSG00000164107			rs10024737-C	rs10024737	0	10024737	3_prime_UTR_variant	0	NR	2E-13	12.698970004336019		1.33	[1.23-1.43]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	5q22.3	5	114413763	KCNN2	KCNN2			ENSG00000080709			rs1013168-G	rs1013168	0	1013168	intron_variant	0	NR	1E-10	10.0		1.19	[1.13-1.26]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	7q31.2	7	116551643	CAV1, CAV2	CAV1			ENSG00000105974			rs9886216-A	rs9886216	0	9886216	intron_variant	0	NR	5E-17	16.30102999566398		1.21	[1.16-1.26]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	10q22.3	10	76190062	LRMDA	LRMDA			ENSG00000148655			rs16932995-G	rs16932995	0	16932995	intron_variant	0	NR	3E-10	9.522878745280337		1.14	[1.09-1.18]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	10q24.33	10	103713072	SH3PXD2A	SH3PXD2A			ENSG00000107957			rs10509768-G	rs10509768	0	10509768	intron_variant	0	NR	9E-16	15.045757490560675		1.2	[1.14-1.25]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	12q24.21	12	114351421	TBX5	LINC02459 - TBX5	ENSG00000257476	ENSG00000089225		109651	2490	rs2384407-A	rs2384407	0	2384407	downstream_gene_variant	1	NR	4E-17	16.397940008672037		1.19	[1.14-1.24]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	16q22.3	16	72877507	ZFHX3	ZFHX3			ENSG00000140836			rs7197197-A	rs7197197	0	7197197	intron_variant	0	NR	3E-12	11.522878745280337		1.16	[1.11-1.21]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	2p23.3	2	25937505		KIF3C			ENSG00000084731			rs7604968-T	rs7604968	0	7604968	intron_variant	0		8E-6	5.096910013008056		1.14	[1.08-1.21]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	10q21.3	10	63561387		REEP3			ENSG00000165476			rs12245149-C	rs12245149	0	12245149	intron_variant	0		7E-7	6.154901959985743		1.11	[1.07-1.16]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2021-10-07	33990960	Hong M	2021-05-14	Eur J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/33990960	Ethnic similarities in genetic polymorphisms associated with atrial fibrillation: Far East Asian vs European populations.	Atrial fibrillation	9,118 East Asian ancestry cases, 33,467 East Asian ancestry controls	NA	10q21.3	10	67826634		DNAJC12			ENSG00000108176			rs138645114-G	rs138645114	0	138645114	intron_variant	0		3E-6	5.522878745280337		1.1	[1.06-1.15]	NR [2286360] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST012460	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	1q23.3	1	164093291		U3 - NMNAT1P2	ENSG00000212422	ENSG00000225719		169418	249714	rs528903211-?	rs528903211	0	528903211	intergenic_variant	1	NR	1E-8	8.0				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	1q23.3	1	164354848		RNU5F-6P - HMGB3P6	ENSG00000199849	ENSG00000213070		3460	1919	rs750729995-?	rs750729995	0	750729995	upstream_gene_variant	1	NR	5E-8	7.301029995663981				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	1q23.3	1	165247437		LMX1A			ENSG00000162761			rs747358876-?	rs747358876	0	747358876	intron_variant	0	NR	5E-8	7.301029995663981				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	1q23.3	1	165362063		LMX1A - RXRG	ENSG00000162761	ENSG00000143171		5348	38859	rs745582874-?	rs745582874	0	745582874	intergenic_variant	1	NR	4E-8	7.3979400086720375				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	2p24.1	2	20576675		HS1BP3			ENSG00000118960			rs182836018-?	rs182836018	0	182836018	intron_variant	0	NR	7E-7	6.154901959985743				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	4q24	4	102192657		BANK1 - SLC39A8	ENSG00000153064	ENSG00000138821		117845	58423	rs77616117-?	rs77616117	0	77616117	intergenic_variant	1	NR	9E-7	6.045757490560675				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	8p23.1	8	9026103		ERI1			ENSG00000104626			rs189051215-?	rs189051215	0	189051215	intron_variant	0	NR	3E-7	6.522878745280337				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	13q32.3	13	100490655		PCCA			ENSG00000175198			rs768476991-?	rs768476991	0	768476991	non_coding_transcript_exon_variant	0	NR	4E-8	7.3979400086720375				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	13q32.3	13	100743542		NALCN-AS1			ENSG00000233009			rs535535747-?	rs535535747	0	535535747	intron_variant	0	NR	3E-7	6.522878745280337				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2022-03-22	34827661	Emmert DB	2021-11-09	Biomolecules	www.ncbi.nlm.nih.gov/pubmed/34827661	Genetic and Metabolic Determinants of Atrial Fibrillation in a General Population Sample: The CHRIS Study.	Atrial fibrillation	110 European ancestry cases, 10,399 European ancestry controls	NA	17p11.2	17	17199699		MPRIP			ENSG00000133030			rs12939857-?	rs12939857	0	12939857	intron_variant	0	NR	6E-7	6.221848749616356				Illumina [19057004] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90095475	Genome-wide genotyping array
2017-07-21	28416822	Low SK	2017-04-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28416822	Identification of six new genetic loci associated with atrial fibrillation in the Japanese population.	Atrial fibrillation	8,180 Japanese ancestry cases, 28,612 Japanese ancestry controls	3,120 Japanese ancestry cases, 125,064 Japanese ancestry controls, 15,993 European ancestry cases, 113,719 European ancestry controls	4q34.1	4	173523751	HAND2	RNU6-1096P - HAND2	ENSG00000252898	ENSG00000164107		77047	1218	rs17059534-A	rs17059534	0	17059534	regulatory_region_variant	1	0.081	3E-10	9.522878745280337	(Japanese)	1.201	[1.134-1.271]	Illumina [5018049] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004373	Genome-wide genotyping array
2017-07-21	28416822	Low SK	2017-04-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28416822	Identification of six new genetic loci associated with atrial fibrillation in the Japanese population.	Atrial fibrillation	8,180 Japanese ancestry cases, 28,612 Japanese ancestry controls	3,120 Japanese ancestry cases, 125,064 Japanese ancestry controls, 15,993 European ancestry cases, 113,719 European ancestry controls	4q25	4	110796911	PITX2	LINC01438			ENSG00000249519			rs6843082-G	rs6843082	0	6843082	non_coding_transcript_exon_variant	0	0.68	1E-126	126.0	(Japanese)	1.842	[1.751-1.939]	Illumina [5018049] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004373	Genome-wide genotyping array
